NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
6.0,0.0,8.0,6.0,187.0,24.0,0.0,0.0,0.0,0.0,4.0,2
1.0,0.0,4.0,3.0,58.0,11.0,0.0,0.0,0.5,0.0,1.0,1
1.0,0.0,4.0,4.0,31.0,4.0,0.0,1.0,0.5,1.0,0.0,2
0.0,0.0,2.0,2.0,8.0,2.0,0.0,0.0,-1.0,0.0,0.0,1
7.0,0.0,23.0,9.0,261.0,40.0,3.0,0.0,0.2608695652173913,0.0,10.0,1
2.0,0.0,4.0,4.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,2
0.0,0.0,10.0,9.0,185.0,10.0,0.0,0.0,-1.0,1.0,3.0,2
1.0,0.0,2.0,2.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,1
2.0,0.0,5.0,3.0,59.0,9.0,0.0,0.0,0.0,1.0,0.0,2
0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,-1.0,0.0,2.0,1
4.0,0.0,4.0,4.0,56.0,7.0,0.0,2.0,0.0,0.0,2.0,1
0.0,0.0,5.0,5.0,54.0,5.0,0.0,1.0,-1.0,0.0,1.0,1
18.0,0.0,27.0,26.0,223.0,41.0,0.0,0.0,0.1111111111111111,0.0,0.0,2
2.0,0.0,4.0,4.0,82.0,11.0,1.0,2.0,0.5,0.0,3.0,1
2.0,0.0,3.0,3.0,79.0,13.0,0.0,0.0,0.0,8.0,5.0,2
2.0,1.0,3.0,2.0,55.0,5.0,0.0,0.0,0.0,1.0,2.0,1
0.0,0.0,2.0,2.0,18.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,2.0,2.0,13.0,2.0,0.0,0.0,-1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,-1.0,1.0,0.0,2
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.6666666666666666,1.0,0.0,2
0.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0,-1.0,1.0,0.0,2
11.0,0.0,24.0,19.0,303.0,39.0,1.0,0.0,0.08333333333333333,1.0,4.0,2
2.0,0.0,3.0,3.0,43.0,6.0,0.0,0.0,0.0,1.0,0.0,2
6.0,0.0,14.0,11.0,159.0,21.0,0.0,0.0,0.7142857142857143,1.0,2.0,2
3.0,0.0,7.0,7.0,72.0,9.0,0.0,0.0,0.0,2.0,0.0,2
0.0,0.0,5.0,4.0,38.0,5.0,0.0,0.0,-1.0,3.0,1.0,2
1.0,0.0,4.0,2.0,52.0,5.0,0.0,0.0,0.75,0.0,4.0,1
0.0,0.0,3.0,0.0,21.0,3.0,7.0,0.0,-1.0,25.0,0.0,2
12.0,0.0,38.0,28.0,675.0,95.0,0.0,0.0,0.0,3.0,13.0,1
6.0,0.0,6.0,6.0,52.0,10.0,0.0,0.0,0.0,0.0,4.0,1
1.0,0.0,2.0,2.0,31.0,3.0,1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,5.0,3.0,47.0,6.0,0.0,0.0,0.6,0.0,1.0,1
9.0,0.0,21.0,15.0,386.0,46.0,0.0,0.0,0.09523809523809523,0.0,7.0,1
1.0,0.0,5.0,5.0,46.0,6.0,1.0,0.0,0.4,1.0,1.0,2
4.0,0.0,6.0,0.0,63.0,6.0,4.0,0.0,-1.0,7.0,0.0,2
4.0,0.0,5.0,5.0,67.0,7.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,5.0,3.0,34.0,5.0,0.0,0.0,0.0,0.0,2.0,1
6.0,0.0,15.0,13.0,140.0,16.0,1.0,1.0,0.4,0.0,2.0,1
19.0,14.0,7.0,6.0,99.0,8.0,0.0,0.0,0.2857142857142857,4.0,3.0,1
2.0,0.0,8.0,4.0,51.0,12.0,0.0,0.0,0.25,1.0,2.0,1
0.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
4.0,0.0,14.0,14.0,175.0,26.0,0.0,0.0,0.0,0.0,2.0,2
0.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,-1.0,1.0,0.0,2
21.0,0.0,27.0,16.0,482.0,88.0,0.0,0.0,0.0,0.0,2.0,1
1.0,0.0,2.0,2.0,26.0,2.0,0.0,2.0,1.0,0.0,2.0,1
3.0,0.0,3.0,3.0,48.0,7.0,0.0,0.0,0.0,2.0,0.0,2
2.0,0.0,3.0,3.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,1
27.0,8.0,48.0,45.0,540.0,75.0,0.0,1.0,0.20833333333333334,5.0,11.0,2
3.0,0.0,6.0,5.0,63.0,11.0,0.0,1.0,0.0,2.0,5.0,2
3.0,0.0,6.0,6.0,61.0,8.0,0.0,0.0,0.5,1.0,0.0,2
5.0,1.0,18.0,14.0,97.0,21.0,0.0,1.0,0.5555555555555556,0.0,5.0,1
1.0,0.0,2.0,1.0,42.0,6.0,0.0,2.0,0.0,0.0,3.0,1
0.0,0.0,1.0,1.0,20.0,3.0,0.0,0.0,-1.0,0.0,0.0,1
0.0,0.0,3.0,2.0,23.0,4.0,0.0,2.0,-1.0,8.0,1.0,2
0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,-1.0,0.0,0.0,2
1.0,0.0,14.0,14.0,153.0,14.0,0.0,0.0,0.7857142857142857,0.0,3.0,2
0.0,0.0,4.0,4.0,16.0,4.0,0.0,0.0,-1.0,0.0,0.0,1
4.0,0.0,14.0,7.0,188.0,26.0,0.0,0.0,0.0,2.0,2.0,1
6.0,0.0,7.0,2.0,263.0,38.0,0.0,0.0,0.0,0.0,4.0,1
0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
7.0,0.0,9.0,8.0,213.0,26.0,0.0,0.0,0.3333333333333333,1.0,6.0,1
1.0,0.0,5.0,3.0,37.0,9.0,0.0,0.0,0.4,0.0,0.0,2
5.0,1.0,18.0,14.0,98.0,21.0,0.0,1.0,0.5555555555555556,0.0,5.0,1
8.0,0.0,12.0,11.0,179.0,20.0,0.0,2.0,0.0,0.0,5.0,2
7.0,0.0,13.0,11.0,175.0,28.0,0.0,0.0,0.15384615384615385,2.0,1.0,2
2.0,0.0,3.0,2.0,42.0,5.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
3.0,1.0,4.0,3.0,48.0,5.0,0.0,0.0,0.0,1.0,0.0,1
1.0,0.0,3.0,3.0,36.0,4.0,0.0,1.0,0.0,1.0,1.0,2
2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-1.0,1.0,0.0,1
0.0,0.0,2.0,2.0,15.0,2.0,0.0,0.0,-1.0,0.0,0.0,1
6.0,0.0,4.0,3.0,75.0,7.0,0.0,1.0,0.0,1.0,0.0,2
41.0,0.0,47.0,41.0,647.0,105.0,0.0,0.0,0.0851063829787234,0.0,6.0,2
17.0,6.0,17.0,11.0,313.0,48.0,0.0,0.0,0.17647058823529413,1.0,4.0,2
7.0,0.0,16.0,9.0,348.0,51.0,1.0,0.0,0.6875,2.0,7.0,2
8.0,0.0,18.0,17.0,201.0,44.0,0.0,1.0,0.0,0.0,2.0,1
11.0,2.0,21.0,17.0,307.0,57.0,0.0,0.0,0.0,3.0,1.0,2
1.0,0.0,2.0,2.0,31.0,3.0,0.0,0.0,0.0,1.0,1.0,2
9.0,0.0,16.0,16.0,240.0,41.0,0.0,0.0,0.375,1.0,2.0,2
24.0,0.0,45.0,28.0,747.0,124.0,2.0,0.0,0.06666666666666667,2.0,15.0,2
1.0,0.0,3.0,3.0,24.0,3.0,0.0,1.0,0.6666666666666666,3.0,0.0,2
3.0,2.0,2.0,2.0,43.0,4.0,0.0,0.0,0.0,1.0,0.0,1
2.0,0.0,2.0,1.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,2
7.0,0.0,19.0,17.0,222.0,26.0,0.0,0.0,0.5263157894736842,0.0,5.0,2
2.0,0.0,5.0,5.0,43.0,6.0,0.0,0.0,0.6,0.0,0.0,1
3.0,0.0,12.0,7.0,153.0,31.0,2.0,0.0,0.16666666666666666,0.0,3.0,1
1.0,0.0,5.0,5.0,46.0,6.0,0.0,0.0,0.6,0.0,1.0,1
7.0,0.0,14.0,9.0,179.0,18.0,0.0,0.0,0.0,1.0,9.0,1
1.0,0.0,27.0,27.0,168.0,32.0,0.0,0.0,0.9259259259259259,0.0,1.0,2
2.0,0.0,4.0,4.0,41.0,4.0,0.0,0.0,0.5,2.0,0.0,2
0.0,0.0,2.0,2.0,30.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
6.0,0.0,7.0,7.0,94.0,17.0,0.0,0.0,0.0,0.0,4.0,1
2.0,0.0,2.0,1.0,28.0,4.0,0.0,0.0,0.0,0.0,1.0,2
3.0,2.0,6.0,5.0,68.0,8.0,0.0,0.0,0.0,1.0,0.0,1
14.0,0.0,24.0,11.0,470.0,60.0,2.0,2.0,0.20833333333333334,0.0,9.0,1
2.0,0.0,4.0,4.0,54.0,7.0,0.0,2.0,0.5,0.0,3.0,1
0.0,0.0,2.0,2.0,17.0,2.0,0.0,0.0,-1.0,0.0,0.0,1
7.0,0.0,18.0,16.0,242.0,40.0,0.0,1.0,0.2777777777777778,19.0,7.0,2
1.0,0.0,10.0,9.0,39.0,10.0,0.0,0.0,0.6,0.0,1.0,2
2.0,0.0,14.0,12.0,154.0,26.0,0.0,0.0,0.2857142857142857,2.0,3.0,1
12.0,0.0,10.0,8.0,206.0,34.0,0.0,0.0,0.3,1.0,1.0,2
2.0,0.0,3.0,3.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,14.0,14.0,117.0,16.0,0.0,0.0,0.2857142857142857,0.0,1.0,1
1.0,0.0,4.0,4.0,61.0,6.0,0.0,0.0,0.75,0.0,3.0,1
2.0,0.0,9.0,8.0,55.0,9.0,0.0,0.0,0.2222222222222222,0.0,3.0,1
0.0,0.0,2.0,1.0,67.0,11.0,0.0,2.0,-1.0,0.0,4.0,2
0.0,0.0,2.0,2.0,26.0,2.0,0.0,2.0,-1.0,3.0,1.0,1
0.0,0.0,7.0,7.0,22.0,8.0,0.0,0.0,-1.0,0.0,1.0,1
5.0,0.0,8.0,5.0,57.0,10.0,0.0,0.0,0.0,0.0,3.0,1
2.0,0.0,4.0,4.0,41.0,4.0,0.0,0.0,0.5,2.0,0.0,2
4.0,0.0,8.0,5.0,138.0,13.0,0.0,1.0,0.375,0.0,7.0,2
7.0,0.0,12.0,5.0,115.0,20.0,0.0,1.0,0.3333333333333333,1.0,2.0,2
0.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,-1.0,2.0,0.0,2
0.0,0.0,2.0,2.0,21.0,2.0,0.0,0.0,-1.0,2.0,0.0,2
10.0,0.0,19.0,19.0,196.0,22.0,0.0,0.0,0.5263157894736842,3.0,1.0,1
4.0,0.0,5.0,5.0,71.0,10.0,0.0,1.0,0.6,2.0,5.0,2
4.0,0.0,7.0,4.0,62.0,10.0,1.0,0.0,0.0,0.0,2.0,1
0.0,0.0,5.0,0.0,32.0,5.0,6.0,1.0,-1.0,2.0,2.0,2
1.0,0.0,4.0,4.0,17.0,4.0,0.0,0.0,0.5,0.0,0.0,1
1.0,0.0,3.0,1.0,31.0,8.0,0.0,0.0,0.6666666666666666,0.0,1.0,1
7.0,0.0,26.0,18.0,264.0,41.0,0.0,0.0,0.07692307692307693,2.0,5.0,2
1.0,0.0,8.0,6.0,168.0,29.0,1.0,0.0,1.0,4.0,3.0,2
0.0,0.0,2.0,2.0,13.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,3.0,3.0,30.0,3.0,0.0,0.0,-1.0,0.0,0.0,1
1.0,0.0,2.0,2.0,16.0,2.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,1.0,61.0,10.0,0.0,2.0,-1.0,0.0,3.0,2
15.0,0.0,21.0,21.0,315.0,42.0,0.0,0.0,0.23809523809523808,0.0,5.0,2
4.0,0.0,5.0,2.0,108.0,11.0,0.0,0.0,0.0,0.0,0.0,1
10.0,0.0,21.0,12.0,268.0,41.0,0.0,0.0,0.0,1.0,5.0,2
2.0,0.0,5.0,4.0,28.0,6.0,0.0,1.0,0.4,1.0,1.0,1
0.0,0.0,2.0,1.0,127.0,25.0,0.0,2.0,-1.0,0.0,3.0,2
1.0,0.0,4.0,4.0,39.0,4.0,0.0,2.0,0.5,0.0,1.0,2
0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,6.0,0.0,44.0,6.0,4.0,0.0,-1.0,7.0,0.0,2
1.0,0.0,3.0,3.0,25.0,3.0,0.0,0.0,0.6666666666666666,1.0,0.0,2
0.0,0.0,11.0,11.0,37.0,11.0,0.0,0.0,-1.0,0.0,0.0,2
1.0,0.0,2.0,2.0,26.0,6.0,0.0,0.0,0.0,1.0,0.0,2
1.0,0.0,5.0,3.0,60.0,7.0,0.0,1.0,0.4,4.0,2.0,1
13.0,7.0,16.0,13.0,195.0,27.0,0.0,1.0,0.625,0.0,3.0,2
1.0,1.0,2.0,2.0,31.0,4.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.0,3.0,3.0,30.0,3.0,0.0,0.0,0.0,2.0,0.0,2
0.0,0.0,4.0,4.0,26.0,4.0,1.0,1.0,-1.0,1.0,0.0,1
0.0,0.0,31.0,31.0,121.0,31.0,0.0,0.0,-1.0,0.0,0.0,2
4.0,0.0,17.0,3.0,258.0,56.0,0.0,1.0,0.0,0.0,1.0,1
6.0,0.0,11.0,11.0,128.0,11.0,0.0,0.0,0.2727272727272727,29.0,3.0,2
0.0,0.0,2.0,0.0,17.0,2.0,1.0,0.0,-1.0,3.0,1.0,2
1.0,0.0,6.0,1.0,177.0,17.0,0.0,0.0,0.0,1.0,10.0,1
0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,-1.0,0.0,0.0,1
0.0,0.0,7.0,7.0,109.0,7.0,0.0,0.0,-1.0,0.0,1.0,2
2.0,0.0,15.0,13.0,290.0,15.0,0.0,0.0,0.13333333333333333,0.0,5.0,1
5.0,0.0,8.0,7.0,126.0,14.0,0.0,0.0,0.0,3.0,0.0,2
0.0,0.0,4.0,3.0,21.0,5.0,0.0,0.0,-1.0,0.0,1.0,1
3.0,0.0,4.0,4.0,62.0,9.0,0.0,0.0,0.0,0.0,2.0,1
0.0,0.0,10.0,10.0,26.0,10.0,1.0,1.0,-1.0,0.0,1.0,1
3.0,0.0,4.0,4.0,47.0,7.0,0.0,1.0,0.0,0.0,2.0,1
14.0,0.0,29.0,14.0,257.0,46.0,0.0,0.0,0.3448275862068966,1.0,12.0,2
0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,-1.0,0.0,0.0,2
28.0,1.0,46.0,43.0,467.0,75.0,0.0,1.0,0.13043478260869565,2.0,7.0,2
4.0,0.0,16.0,15.0,275.0,45.0,0.0,0.0,0.0,3.0,2.0,2
0.0,0.0,4.0,0.0,60.0,12.0,0.0,1.0,-1.0,0.0,1.0,1
5.0,0.0,5.0,4.0,65.0,10.0,0.0,1.0,0.0,0.0,5.0,1
23.0,0.0,67.0,36.0,977.0,157.0,0.0,0.0,0.08955223880597014,14.0,14.0,2
0.0,0.0,5.0,5.0,49.0,5.0,0.0,0.0,-1.0,0.0,1.0,2
1.0,0.0,3.0,3.0,28.0,3.0,2.0,0.0,0.6666666666666666,1.0,1.0,2
14.0,0.0,24.0,18.0,354.0,48.0,0.0,0.0,0.08333333333333333,0.0,9.0,2
3.0,0.0,5.0,3.0,62.0,8.0,0.0,3.0,0.4,1.0,2.0,2
14.0,0.0,30.0,14.0,259.0,47.0,0.0,0.0,0.36666666666666664,1.0,11.0,1
19.0,0.0,22.0,17.0,271.0,40.0,0.0,0.0,0.0,0.0,7.0,2
0.0,0.0,13.0,13.0,85.0,13.0,0.0,1.0,-1.0,0.0,0.0,2
7.0,7.0,5.0,3.0,106.0,9.0,0.0,2.0,1.0,2.0,3.0,2
2.0,0.0,4.0,4.0,35.0,4.0,0.0,0.0,0.5,2.0,0.0,2
6.0,0.0,12.0,12.0,118.0,14.0,0.0,0.0,0.3333333333333333,1.0,2.0,2
11.0,7.0,7.0,7.0,110.0,7.0,0.0,0.0,0.0,6.0,0.0,1
