LOC,CC,PC,label
28.0,3.0,0.0,1
3.0,1.0,0.0,2
10.0,2.0,0.0,2
3.0,1.0,0.0,2
98.0,28.0,2.0,1
8.0,1.0,0.0,1
22.0,4.0,1.0,1
22.0,3.0,2.0,1
4.0,1.0,1.0,2
30.0,6.0,1.0,1
92.0,13.0,4.0,1
3.0,1.0,0.0,2
9.0,1.0,1.0,1
14.0,3.0,3.0,1
6.0,2.0,1.0,2
33.0,4.0,1.0,1
3.0,1.0,0.0,1
7.0,1.0,1.0,1
29.0,1.0,0.0,2
5.0,2.0,1.0,2
3.0,1.0,0.0,2
16.0,3.0,1.0,1
41.0,5.0,3.0,2
35.0,3.0,1.0,2
10.0,2.0,0.0,2
58.0,14.0,0.0,1
4.0,1.0,0.0,2
3.0,1.0,1.0,2
20.0,3.0,3.0,2
3.0,1.0,0.0,2
39.0,8.0,2.0,1
5.0,1.0,1.0,1
3.0,1.0,0.0,2
20.0,7.0,0.0,2
13.0,1.0,1.0,1
11.0,1.0,0.0,2
20.0,5.0,1.0,1
8.0,3.0,1.0,2
30.0,6.0,3.0,2
17.0,2.0,5.0,1
28.0,9.0,1.0,1
3.0,1.0,1.0,2
21.0,4.0,4.0,1
3.0,1.0,1.0,2
17.0,4.0,0.0,1
34.0,9.0,2.0,1
6.0,2.0,0.0,2
18.0,2.0,0.0,1
149.0,1.0,0.0,1
13.0,3.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,2
20.0,5.0,0.0,1
4.0,1.0,1.0,2
8.0,2.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,1
53.0,9.0,7.0,1
11.0,3.0,1.0,2
4.0,1.0,1.0,2
3.0,1.0,3.0,1
3.0,1.0,1.0,2
11.0,3.0,1.0,2
63.0,1.0,0.0,1
9.0,2.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,1.0,2
4.0,1.0,2.0,2
5.0,1.0,0.0,1
3.0,1.0,0.0,2
4.0,2.0,0.0,1
3.0,1.0,0.0,2
25.0,1.0,0.0,2
22.0,8.0,0.0,1
150.0,32.0,0.0,2
40.0,9.0,3.0,1
30.0,4.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
55.0,13.0,3.0,1
6.0,1.0,1.0,1
10.0,2.0,1.0,1
23.0,2.0,0.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,2
9.0,1.0,0.0,2
3.0,1.0,1.0,2
10.0,2.0,1.0,1
50.0,7.0,0.0,1
10.0,3.0,0.0,2
4.0,1.0,2.0,2
58.0,14.0,0.0,1
10.0,1.0,1.0,1
14.0,1.0,1.0,1
5.0,1.0,0.0,2
3.0,1.0,0.0,2
8.0,1.0,0.0,1
36.0,6.0,2.0,1
3.0,1.0,1.0,2
6.0,2.0,0.0,2
28.0,9.0,0.0,1
14.0,2.0,2.0,1
3.0,1.0,0.0,1
14.0,2.0,0.0,2
3.0,1.0,1.0,2
9.0,1.0,0.0,2
137.0,14.0,2.0,2
2.0,1.0,2.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
8.0,1.0,0.0,1
0.0,1.0,0.0,2
13.0,3.0,1.0,1
27.0,5.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,0.0,2
15.0,2.0,0.0,2
12.0,2.0,2.0,1
5.0,1.0,0.0,2
9.0,1.0,0.0,2
47.0,8.0,3.0,2
68.0,2.0,0.0,2
58.0,14.0,0.0,1
16.0,2.0,0.0,2
16.0,3.0,1.0,2
2.0,1.0,1.0,2
10.0,2.0,2.0,1
24.0,4.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,0.0,2
8.0,1.0,0.0,1
17.0,2.0,0.0,1
11.0,3.0,1.0,2
6.0,1.0,0.0,1
17.0,1.0,0.0,2
5.0,1.0,0.0,2
6.0,2.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,1.0,2
3.0,1.0,0.0,2
49.0,11.0,0.0,2
44.0,8.0,2.0,1
28.0,4.0,0.0,1
3.0,1.0,1.0,2
29.0,4.0,1.0,1
19.0,2.0,1.0,1
31.0,5.0,2.0,1
3.0,1.0,1.0,2
49.0,4.0,1.0,1
3.0,1.0,0.0,1
8.0,1.0,0.0,1
18.0,4.0,1.0,1
18.0,4.0,1.0,1
10.0,2.0,2.0,1
3.0,1.0,0.0,1
8.0,1.0,0.0,2
3.0,1.0,0.0,1
8.0,2.0,1.0,1
39.0,11.0,3.0,1
5.0,1.0,0.0,1
4.0,1.0,2.0,2
44.0,6.0,1.0,1
4.0,1.0,1.0,2
16.0,3.0,0.0,1
34.0,5.0,4.0,2
24.0,4.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
12.0,2.0,0.0,2
3.0,1.0,0.0,2
22.0,4.0,0.0,2
3.0,1.0,2.0,2
26.0,8.0,1.0,1
8.0,1.0,0.0,1
3.0,1.0,1.0,1
26.0,3.0,0.0,2
3.0,1.0,1.0,2
8.0,1.0,0.0,1
30.0,5.0,0.0,1
3.0,1.0,1.0,2
127.0,24.0,0.0,1
8.0,2.0,1.0,2
8.0,1.0,0.0,1
20.0,3.0,1.0,2
23.0,1.0,1.0,1
29.0,2.0,0.0,1
3.0,1.0,0.0,2
39.0,7.0,0.0,1
43.0,5.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,0.0,1
8.0,2.0,1.0,2
3.0,1.0,0.0,2
5.0,1.0,0.0,2
16.0,1.0,1.0,1
9.0,1.0,0.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
8.0,2.0,1.0,2
10.0,1.0,1.0,1
35.0,6.0,2.0,2
7.0,1.0,0.0,1
3.0,1.0,4.0,1
10.0,4.0,2.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,2
5.0,1.0,2.0,2
3.0,1.0,1.0,2
4.0,1.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
14.0,3.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
20.0,5.0,2.0,2
3.0,1.0,1.0,2
16.0,5.0,4.0,1
29.0,4.0,1.0,1
3.0,1.0,1.0,2
8.0,3.0,1.0,2
3.0,1.0,3.0,2
9.0,2.0,5.0,1
8.0,1.0,0.0,1
68.0,1.0,0.0,1
28.0,5.0,1.0,2
31.0,6.0,2.0,2
8.0,1.0,1.0,2
23.0,7.0,0.0,1
41.0,11.0,0.0,1
26.0,4.0,0.0,1
9.0,1.0,0.0,2
3.0,1.0,1.0,1
18.0,1.0,2.0,1
31.0,7.0,4.0,1
2.0,1.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
31.0,6.0,4.0,1
18.0,2.0,7.0,1
31.0,4.0,1.0,1
60.0,1.0,0.0,1
24.0,4.0,4.0,1
4.0,1.0,0.0,2
10.0,1.0,0.0,1
3.0,1.0,1.0,2
0.0,1.0,0.0,2
4.0,1.0,1.0,2
3.0,1.0,1.0,1
6.0,1.0,0.0,1
35.0,9.0,2.0,1
10.0,2.0,2.0,1
15.0,4.0,1.0,1
8.0,1.0,0.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,1.0,1
13.0,3.0,0.0,1
25.0,5.0,4.0,1
18.0,4.0,1.0,2
19.0,4.0,2.0,2
21.0,6.0,1.0,2
7.0,2.0,1.0,2
4.0,1.0,2.0,1
3.0,1.0,0.0,1
3.0,1.0,0.0,2
35.0,7.0,1.0,2
13.0,1.0,0.0,1
10.0,1.0,1.0,1
30.0,8.0,3.0,1
57.0,4.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
8.0,1.0,0.0,1
24.0,3.0,0.0,1
39.0,6.0,1.0,1
25.0,4.0,0.0,2
15.0,3.0,2.0,2
55.0,13.0,3.0,1
19.0,3.0,1.0,1
10.0,2.0,0.0,1
23.0,6.0,1.0,2
3.0,1.0,1.0,2
46.0,5.0,1.0,2
45.0,7.0,0.0,2
4.0,1.0,0.0,2
36.0,8.0,0.0,1
10.0,1.0,0.0,1
39.0,11.0,0.0,1
12.0,2.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,1
59.0,12.0,0.0,1
14.0,3.0,1.0,1
22.0,4.0,1.0,1
22.0,5.0,0.0,2
9.0,1.0,1.0,1
35.0,2.0,0.0,1
25.0,5.0,3.0,2
47.0,9.0,1.0,1
5.0,1.0,3.0,2
32.0,2.0,0.0,1
20.0,2.0,0.0,1
37.0,8.0,1.0,1
27.0,5.0,3.0,1
37.0,7.0,0.0,2
22.0,2.0,0.0,2
12.0,2.0,2.0,2
38.0,5.0,1.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,2
0.0,1.0,0.0,2
25.0,3.0,3.0,1
10.0,1.0,0.0,1
3.0,1.0,0.0,2
21.0,3.0,1.0,1
16.0,5.0,2.0,2
8.0,1.0,0.0,1
26.0,4.0,0.0,2
7.0,2.0,0.0,1
3.0,1.0,1.0,2
18.0,5.0,0.0,2
25.0,7.0,0.0,1
17.0,5.0,0.0,1
3.0,1.0,0.0,2
20.0,6.0,1.0,1
14.0,3.0,3.0,2
13.0,4.0,0.0,2
20.0,5.0,4.0,2
8.0,1.0,0.0,1
8.0,1.0,0.0,1
15.0,4.0,2.0,2
8.0,2.0,1.0,2
27.0,3.0,1.0,1
14.0,4.0,0.0,1
