NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
4.0,0.0,12.0,12.0,80.0,13.0,0.0,0.0,0.25,2.0,6.0,2
2.0,0.0,9.0,8.0,43.0,11.0,0.0,1.0,0.4444444444444444,1.0,7.0,2
0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,-1.0,1.0,0.0,1
0.0,0.0,2.0,2.0,53.0,12.0,0.0,0.0,-1.0,0.0,2.0,1
7.0,0.0,10.0,3.0,248.0,47.0,0.0,0.0,0.0,2.0,5.0,2
4.0,1.0,9.0,9.0,101.0,10.0,0.0,1.0,0.2222222222222222,1.0,2.0,1
0.0,0.0,4.0,4.0,35.0,8.0,0.0,2.0,-1.0,1.0,1.0,2
8.0,0.0,61.0,61.0,187.0,61.0,0.0,0.0,0.639344262295082,0.0,0.0,1
0.0,0.0,5.0,5.0,42.0,5.0,0.0,0.0,-1.0,0.0,0.0,2
0.0,0.0,2.0,2.0,26.0,3.0,0.0,0.0,-1.0,0.0,1.0,1
1.0,0.0,4.0,4.0,35.0,4.0,0.0,0.0,1.0,0.0,0.0,1
1.0,0.0,2.0,2.0,9.0,2.0,0.0,1.0,0.0,0.0,3.0,2
16.0,2.0,70.0,63.0,1005.0,123.0,0.0,0.0,0.05714285714285714,6.0,7.0,1
2.0,0.0,1.0,1.0,50.0,4.0,0.0,1.0,0.0,0.0,3.0,2
8.0,5.0,4.0,3.0,70.0,8.0,2.0,0.0,0.75,0.0,4.0,1
1.0,0.0,2.0,1.0,74.0,14.0,0.0,0.0,1.0,3.0,1.0,2
1.0,0.0,18.0,18.0,83.0,18.0,0.0,0.0,0.0,1.0,1.0,2
0.0,0.0,7.0,7.0,34.0,8.0,0.0,1.0,-1.0,0.0,1.0,1
0.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,1
2.0,0.0,5.0,4.0,79.0,6.0,0.0,0.0,0.4,3.0,1.0,2
0.0,0.0,1.0,1.0,10.0,2.0,0.0,0.0,-1.0,0.0,4.0,1
0.0,0.0,2.0,2.0,19.0,4.0,0.0,0.0,-1.0,0.0,0.0,1
2.0,2.0,2.0,2.0,37.0,2.0,0.0,0.0,1.0,0.0,1.0,1
10.0,1.0,16.0,10.0,352.0,50.0,0.0,0.0,0.0,11.0,6.0,1
1.0,0.0,3.0,3.0,25.0,3.0,0.0,0.0,1.0,2.0,0.0,2
1.0,0.0,2.0,0.0,25.0,5.0,0.0,1.0,1.0,1.0,1.0,1
2.0,0.0,11.0,10.0,137.0,14.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,2.0,1.0,11.0,3.0,0.0,0.0,-1.0,2.0,2.0,2
2.0,0.0,11.0,6.0,175.0,36.0,1.0,1.0,0.0,0.0,3.0,1
10.0,0.0,36.0,34.0,335.0,44.0,0.0,0.0,0.3055555555555556,0.0,5.0,1
1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2
9.0,0.0,15.0,7.0,246.0,31.0,0.0,0.0,0.0,2.0,14.0,2
9.0,8.0,7.0,7.0,83.0,7.0,0.0,0.0,0.42857142857142855,5.0,1.0,2
0.0,0.0,3.0,0.0,15.0,3.0,0.0,1.0,-1.0,0.0,0.0,2
0.0,0.0,1.0,1.0,14.0,1.0,0.0,1.0,-1.0,0.0,2.0,1
2.0,0.0,11.0,6.0,380.0,94.0,0.0,1.0,0.2727272727272727,1.0,9.0,2
1.0,0.0,2.0,2.0,15.0,4.0,0.0,1.0,0.0,0.0,4.0,2
7.0,0.0,14.0,0.0,111.0,28.0,0.0,0.0,0.0,1.0,3.0,1
2.0,0.0,2.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,1
4.0,0.0,7.0,3.0,74.0,7.0,0.0,0.0,1.0,0.0,5.0,1
11.0,0.0,23.0,19.0,208.0,34.0,0.0,0.0,0.08695652173913043,3.0,4.0,2
0.0,0.0,8.0,1.0,28.0,10.0,0.0,1.0,-1.0,1.0,0.0,2
2.0,0.0,2.0,2.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,2.0,1.0,11.0,2.0,0.0,1.0,1.0,0.0,4.0,1
1.0,0.0,7.0,6.0,58.0,11.0,0.0,0.0,0.42857142857142855,2.0,2.0,2
2.0,0.0,3.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0,1
